CountyName,DEM_12_raw,OTHER_12_raw,REP_12_raw,NET_DEM_12_raw,WINNER_12_raw,DEM_12_pct,OTHER_12_pct,REP_12_pct,NET_DEM_12_pct,WINNER_12_pct,DEM_16_raw,OTHER_16_raw,REP_16_raw,NET_DEM_16_raw,WINNER_16_raw,DEM_16_pct,OTHER_16_pct,REP_16_pct,NET_DEM_16_pct,WINNER_16_pct,DEM_18_raw,OTHER_18_raw,REP_18_raw,NET_DEM_18_raw,WINNER_18_raw,DEM_18_pct,OTHER_18_pct,REP_18_pct,NET_DEM_18_pct,WINNER_18_pct,COUNTY_CAT,TREND_16_18,TREND_12_18,TREND_12_16,COUNTY_TREND_CAT,Region,FIPS,Reg_16_Total,Reg_16_Rep,Reg_16_Dem,Reg_16_NPA_Other,Reg_18_Total,Reg_18_Rep,Reg_18_Dem,Reg_18_NPA_Other,Reg_20_Total,Reg_20_Rep,Reg_20_Dem,Reg_20_NPA_Other,Total_Vote_16,Total_Vote_18,Turnout_16,Turnout_18,Expected_2020_Vote,DEM_20_raw,OTHER_20_raw,REP_20_raw,NET_DEM_20_raw,WINNER_20_raw,DEM_20_pct,OTHER_20_pct,REP_20_pct,NET_DEM_20_pct,WINNER_20_pct,Total_Vote_20,Turnout_20,Expected_20_Vote_Remaining,Proj_Dem_Vote_Remaining,Proj_Rep_Vote_Remaining,Proj_Other_Vote_Remaining,Proj_Dem_Vote_Total,Proj_Rep_Vote_Total,Proj_Other_Vote_Total,Proj_Dem_Margin,Proj_Winner,County
Glades,1603,42,2344,-741,2,0.4,0.01,0.59,-0.18999999999999995,2,1271,86,2996,-1725,2,0.29,0.02,0.69,-0.39999999999999997,2,1156,1,2666,-1510,2,0.3,0.0,0.7,-0.39999999999999997,2,SOLID RED,0.0,-0.21,-0.21,R2R,Southwest,12043,6611,2350,3111,1150,6784,2758,2759,1267,6839,3171,2362,1306,4353,3823,0.658,0.564,4500.0,715.78,38.03,1308.58,-592.8,2,0.3471,0.0184,0.6345,-0.28739999999999993,2,2062.39,0.302,2437.61,846.0944310000001,1546.6635449999999,44.852024,1561.8744310000002,2855.243545,82.882024,-1293.0,Trump,Glades
Gulf,2014,99,4995,-2981,2,0.28,0.01,0.7,-0.41999999999999993,2,1720,244,5329,-3609,2,0.24,0.03,0.73,-0.49,2,1580,0,4321,-2741,2,0.27,0.0,0.73,-0.45999999999999996,2,SOLID RED,0.03,-0.04,-0.07,R2R,Northwest,12045,10210,4611,4369,1230,10198,4963,3925,1310,10362,5489,3419,1454,7293,5901,0.714,0.579,7398.0,964.14,108.92999999999999,2175.42,-1211.2800000000002,2,0.2968,0.0335,0.6697,-0.37289999999999995,2,3248.49,0.314,4149.51,1231.574568,2778.926847,139.008585,2195.714568,4954.346847000001,247.938585,-2759.0,Trump,Gulf
Hamilton,2228,41,3138,-910,2,0.41,0.01,0.58,-0.16999999999999998,2,1904,113,3443,-1539,2,0.35,0.02,0.63,-0.28,2,1671,0,2856,-1185,2,0.37,0.0,0.63,-0.26,2,SOLID RED,0.02,-0.09,-0.11,R2R,North Central,12047,8086,2287,4789,1010,7727,2526,4204,997,7868,2945,3858,1065,5460,4527,0.675,0.586,5311.0,1078.75,49.0,1521.52,-442.77,2,0.4072,0.0185,0.5743,-0.16710000000000003,2,2649.27,0.337,2661.73,1083.856456,1528.6315390000002,49.242005,2162.606456,3050.1515390000004,98.242005,-888.0,Trump,Hamilton
Hardee,2463,67,4696,-2233,2,0.34,0.01,0.65,-0.31,2,2149,192,5242,-3093,2,0.28,0.03,0.69,-0.4099999999999999,2,1916,0,4455,-2539,2,0.3,0.0,0.7,-0.39999999999999997,2,SOLID RED,0.01,-0.09,-0.1,R2R,West Central,12049,11720,5011,4707,2002,12239,5436,4459,2344,12672,6032,4118,2522,7583,6371,0.647,0.521,8199.0,1267.04,79.05,2229.84,-962.8000000000002,2,0.3543,0.0221,0.6236,-0.26930000000000004,2,3575.9300000000003,0.282,4623.07,1637.953701,2882.946452,102.169847,2904.993701,5112.786452,181.21984700000002,-2208.0,Trump,Hardee
Hendry,4751,79,5355,-604,2,0.47,0.01,0.53,-0.06000000000000005,2,4615,305,6195,-1580,2,0.42,0.03,0.56,-0.14000000000000007,2,3542,0,5304,-1762,2,0.4,0.0,0.6,-0.19999999999999996,2,SOLID RED,-0.06,-0.14,-0.08,R2R,Southwest,12051,17477,6114,8214,3149,17773,6495,7834,3444,18330,7099,7581,3650,11115,8846,0.636,0.498,11658.0,2721.76,118.63,2537.38,184.3800000000001,1,0.5061,0.0221,0.4718,0.0343,1,5377.77,0.293,6280.23,3178.4244029999995,2963.0125139999996,138.793083,5900.184402999999,5500.392513999999,257.423083,400.0,Biden,Hendry
Hernando,37830,899,44938,-7108,2,0.45,0.01,0.54,-0.09000000000000002,2,31795,3031,58970,-27175,2,0.34,0.03,0.63,-0.29,2,30798,14,49501,-18703,2,0.38,0.0,0.62,-0.24,2,SOLID RED,0.05,-0.15,-0.2,R2R,West Central,12053,130639,53149,43098,34392,133853,55573,42227,36053,141946,60507,42887,38552,93796,80313,0.718,0.6,101917.0,17188.87,1162.0099999999998,24544.66,-7355.790000000001,2,0.4007,0.0271,0.5722,-0.17150000000000004,2,42895.54,0.302,59021.46,23649.899022,33772.079412,1599.481566,40838.769022,58316.739411999995,2761.4915659999997,-17478.0,Trump,Hernando
Highlands,16148,381,25915,-9767,2,0.38,0.01,0.61,-0.22999999999999998,2,14937,1184,29565,-14628,2,0.33,0.03,0.65,-0.32,2,13398,6,26282,-12884,2,0.34,0.0,0.66,-0.32,2,SOLID RED,0.0,-0.09,-0.09,R2R,West Central,12055,61603,27977,20179,13447,59272,27461,18037,13774,63270,29578,18454,15238,45686,39686,0.742,0.67,46946.0,7480.8,443.65999999999997,12492.91,-5012.11,2,0.3664,0.0217,0.6119,-0.2455,2,20417.37,0.323,26528.63,9720.090032,16232.868697,575.671271,17200.890032,28725.778697,1019.331271,-11525.0,Trump,Highlands
Hillsborough,286467,5449,250186,36281,1,0.53,0.01,0.46,0.07,1,307896,22894,266870,41026,1,0.52,0.04,0.45,0.07,1,281661,72,239641,42020,1,0.54,0.0,0.46,0.08000000000000002,1,SOLID BLUE,0.01,0.01,0.0,B2B,West Central,12057,849838,267843,335920,246075,857266,270343,335009,251914,892928,278487,353332,261109,597660,521374,0.703,0.608,627728.0,175764.81,9418.75,108778.36,66986.45,1,0.5979,0.032,0.37,0.2279,1,293961.92,0.329,333766.08,199558.739232,123493.4496,10680.514560000001,375323.549232,232271.8096,20099.264560000003,143052.0,Biden,Hillsborough
Holmes,1264,91,6919,-5655,2,0.15,0.01,0.84,-0.69,2,853,178,7483,-6630,2,0.1,0.02,0.88,-0.78,2,856,0,5919,-5063,2,0.13,0.0,0.87,-0.74,2,SOLID RED,0.04,-0.05,-0.09,R2R,Northwest,12059,11230,5952,4045,1233,10751,6285,3226,1240,11021,6954,2677,1390,8514,6775,0.758,0.63,8354.0,448.42,61.81999999999999,3724.96,-3276.54,2,0.1059,0.0146,0.8795,-0.7736,2,4235.2,0.384,4118.8,436.18092,3622.4846,60.13448,884.6009200000001,7347.4446,121.95447999999999,-6463.0,Trump,Holmes
Indian River,27492,522,43450,-15958,2,0.38,0.01,0.61,-0.22999999999999998,2,29043,2346,48620,-19577,2,0.36,0.03,0.61,-0.25,2,29195,11,44798,-15603,2,0.39,0.0,0.61,-0.21999999999999997,2,SOLID RED,0.03,0.01,-0.02,R2R,Southeast,12061,106647,49718,29172,27757,113426,52588,30943,29895,119838,55821,33230,30787,80009,74004,0.75,0.652,89878.0,16629.25,939.4100000000002,20584.51,-3955.2599999999984,2,0.4359,0.0246,0.5395,-0.10359999999999997,2,38153.17,0.318,51724.83,22546.853397000003,27905.545785,1272.430818,39176.103397,48490.055785,2211.840818,-9314.0,Trump,Indian River
