County,DEM_12_raw,OTHER_12_raw,REP_12_raw,NET_DEM_12_raw,WINNER_12_raw,DEM_12_pct,OTHER_12_pct,REP_12_pct,NET_DEM_12_pct,WINNER_12_pct,DEM_16_raw,OTHER_16_raw,REP_16_raw,NET_DEM_16_raw,WINNER_16_raw,DEM_16_pct,OTHER_16_pct,REP_16_pct,NET_DEM_16_pct,WINNER_16_pct,COUNTY_CAT,TREND_12_16,Region,FIPS,Reg_16_Total,Reg_16_Rep,Reg_16_Dem,Reg_16_Other,Reg_20_Total,Reg_20_Rep,Reg_20_Dem,Reg_20_Other,Total_Vote_16,Turnout_16,Expected_2020_Vote
LANCASTER,88481.0,3286.0,130669.0,-42188.0,2,0.4,0.01,0.59,-0.18999999999999995,2,91093.0,12105.0,137914.0,-46821.0,2,0.38,0.05,0.57,-0.18999999999999995,2,SOLID RED,0.0,PA Dutch,42071,331820,168857,109948,53015,335791,174365,108172,53254,241112.0,0.727,244120.0
LAWRENCE,17513.0,476.0,21047.0,-3534.0,2,0.45,0.01,0.54,-0.09000000000000002,2,14009.0,1316.0,25428.0,-11419.0,2,0.34,0.03,0.62,-0.27999999999999997,2,SOLID RED,-0.19,West,42073,54204,24128,23954,6122,57049,23368,27516,6165,40753.0,0.752,42901.0
LEBANON,19900.0,808.0,35872.0,-15972.0,2,0.35,0.01,0.63,-0.28,2,18953.0,2367.0,40525.0,-21572.0,2,0.31,0.04,0.66,-0.35000000000000003,2,SOLID RED,-0.07,PA Dutch,42075,86963,47431,26582,12950,86878,47199,27298,12381,61845.0,0.711,61770.0
LEHIGH,78283.0,1845.0,66874.0,11409.0,1,0.53,0.01,0.45,0.08000000000000002,1,81324.0,5979.0,73690.0,7634.0,1,0.51,0.04,0.46,0.04999999999999999,1,SOLID BLUE,-0.03,Northeast,42077,234842,79585,114292,40965,236081,80623,115745,39713,160993.0,0.686,161952.0
LUZERNE,64307.0,1807.0,58325.0,5982.0,1,0.52,0.01,0.47,0.050000000000000044,1,52451.0,3844.0,78688.0,-26237.0,2,0.39,0.03,0.58,-0.18999999999999995,2,OBAMA-TRUMP,-0.24,Northeast,42079,211276,80225,104952,26099,205332,74116,108055,23161,134983.0,0.639,131207.0
LYCOMING,15203.0,632.0,30658.0,-15455.0,2,0.33,0.01,0.66,-0.33,2,13020.0,1918.0,35627.0,-22607.0,2,0.26,0.04,0.7,-0.43999999999999995,2,SOLID RED,-0.11,Central,42081,69008,39413,20565,9030,69764,38125,22442,9197,50565.0,0.733,51137.0
MERCER,24232.0,706.0,25925.0,-1693.0,2,0.48,0.01,0.51,-0.030000000000000027,2,18733.0,2032.0,31544.0,-12811.0,2,0.36,0.04,0.6,-0.24,2,SOLID RED,-0.21,West,42085,70706,32650,28893,9163,77265,33047,34096,10122,52309.0,0.74,57176.0
MIFFLIN,4273.0,159.0,11939.0,-7666.0,2,0.26,0.01,0.73,-0.47,2,3877.0,630.0,14094.0,-10217.0,2,0.21,0.03,0.76,-0.55,2,SOLID RED,-0.08,Central,42087,25283,15959,6569,2755,25933,15559,7599,2775,18601.0,0.736,19087.0
MONROE,35221.0,829.0,26867.0,8354.0,1,0.56,0.01,0.43,0.13000000000000006,1,33918.0,2448.0,33386.0,532.0,1,0.49,0.04,0.48,0.010000000000000009,1,SOLID BLUE,-0.12,Northeast,42089,109981,37066,51348,21567,109247,36339,51884,21024,69752.0,0.634,69263.0
MONTGOMERY,233356.0,4463.0,174381.0,58975.0,1,0.57,0.01,0.42,0.14999999999999997,1,256082.0,15874.0,162731.0,93351.0,1,0.59,0.04,0.37,0.21999999999999997,1,SOLID BLUE,0.07,Southeast,42091,574403,201102,286292,87009,577418,215777,272287,89354,434687.0,0.757,437105.0
MONTOUR,3053.0,126.0,4652.0,-1599.0,2,0.39,0.02,0.59,-0.19999999999999996,2,2857.0,411.0,5288.0,-2431.0,2,0.33,0.05,0.62,-0.29,2,SOLID RED,-0.09,Central,42093,13299,6486,4695,2118,13098,6295,4742,2061,8556.0,0.643,8422.0
McKEAN,5297.0,266.0,9545.0,-4248.0,2,0.35,0.02,0.63,-0.28,2,4025.0,636.0,11635.0,-7610.0,2,0.25,0.04,0.71,-0.45999999999999996,2,SOLID RED,-0.18,Central,42083,24098,14309,6476,3313,24911,14198,7312,3401,16296.0,0.676,16840.0
NORTHAMPTON,67606.0,1683.0,61446.0,6160.0,1,0.52,0.01,0.47,0.050000000000000044,1,66272.0,5511.0,71736.0,-5464.0,2,0.46,0.04,0.5,-0.03999999999999998,2,OBAMA-TRUMP,-0.09,Northeast,42095,212972,75307,97878,39787,211402,73473,99075,38854,143519.0,0.674,142485.0
NORTHUMBERLAND,13072.0,622.0,19518.0,-6446.0,2,0.39,0.02,0.59,-0.19999999999999996,2,9788.0,1407.0,25427.0,-15639.0,2,0.27,0.04,0.69,-0.41999999999999993,2,SOLID RED,-0.22,Central,42097,53985,27878,18852,7255,56496,27678,21711,7107,36622.0,0.678,38304.0
PERRY,5685.0,323.0,13120.0,-7435.0,2,0.3,0.02,0.69,-0.38999999999999996,2,4632.0,910.0,15616.0,-10984.0,2,0.22,0.04,0.74,-0.52,2,SOLID RED,-0.13,PA Dutch,42099,28054,18095,6489,3470,28727,18045,7177,3505,21158.0,0.754,21660.0
PHILADELPHIA,588806.0,5054.0,96467.0,492339.0,1,0.85,0.01,0.14,0.71,1,584025.0,14858.0,108748.0,475277.0,1,0.83,0.02,0.15,0.6799999999999999,1,SOLID BLUE,-0.03,Philadelphia,42101,1076764,119335,827438,129991,1102560,125557,853091,123912,707631.0,0.657,724382.0
PIKE,10210.0,283.0,12786.0,-2576.0,2,0.44,0.01,0.55,-0.11000000000000004,2,9256.0,789.0,16056.0,-6800.0,2,0.35,0.03,0.62,-0.27,2,SOLID RED,-0.16,Northeast,42103,40955,18356,13974,8625,40087,17802,13972,8313,26101.0,0.637,25535.0
POTTER,1897.0,114.0,5231.0,-3334.0,2,0.26,0.02,0.72,-0.45999999999999996,2,1302.0,231.0,6251.0,-4949.0,2,0.17,0.03,0.8,-0.63,2,SOLID RED,-0.17,Central,42105,10687,7197,2338,1152,11005,7051,2844,1110,7784.0,0.728,8012.0
SCHUYLKILL,24546.0,903.0,32278.0,-7732.0,2,0.43,0.02,0.56,-0.13000000000000006,2,16770.0,2098.0,44001.0,-27231.0,2,0.27,0.03,0.7,-0.42999999999999994,2,SOLID RED,-0.3,Northeast,42107,85526,45010,29869,10647,87989,43996,33846,10147,62869.0,0.735,64672.0
