County,DEM_12_raw,OTHER_12_raw,REP_12_raw,NET_DEM_12_raw,WINNER_12_raw,DEM_12_pct,OTHER_12_pct,REP_12_pct,NET_DEM_12_pct,WINNER_12_pct,DEM_16_raw,OTHER_16_raw,REP_16_raw,NET_DEM_16_raw,WINNER_16_raw,DEM_16_pct,OTHER_16_pct,REP_16_pct,NET_DEM_16_pct,WINNER_16_pct,DEM_18_raw,OTHER_18_raw,REP_18_raw,NET_DEM_18_raw,WINNER_18_raw,DEM_18_pct,OTHER_18_pct,REP_18_pct,NET_DEM_18_pct,WINNER_18_pct,COUNTY_CAT,TREND_16_18,TREND_12_18,TREND_12_16,Region,FIPS,Reg_16_Total,Reg_16_Rep,Reg_16_Dem,Reg_16_NPA_Other,Reg_18_Total,Reg_18_Rep,Reg_18_Dem,Reg_18_NPA_Other,Reg_20_Total,Reg_20_Rep,Reg_20_Dem,Reg_20_NPA_Other,Total_Vote_16,Total_Vote_18,Turnout_16,Turnout_18,Expected_2020_Vote
Lake,61799,1369,87643,-25844,2,0.41,0.01,0.58,-0.16999999999999998,2,62838,5436,102188,-39350,2,0.37,0.03,0.6,-0.22999999999999998,2,61402,15,93537,-32135,2,0.4,0.0,0.6,-0.19999999999999996,2,SOLID RED,0.03,-0.03,-0.06,North Central,12069,222432,97452,69741,55239,236078,103669,72154,60255,251794,110191,76019,65584,170462,154954,0.766,0.656,192874.0
Lee,110157,1846,154163,-44006,2,0.41,0.01,0.58,-0.16999999999999998,2,124908,9961,191551,-66643,2,0.38,0.03,0.59,-0.20999999999999996,2,114857,41,174316,-59459,2,0.4,0.0,0.6,-0.19999999999999996,2,SOLID RED,0.01,-0.03,-0.04,Red South,12071,423938,185737,116736,121465,446273,191337,121195,133741,464769,198185,127815,138769,326420,289214,0.77,0.648,357872.0
Leon,90881,1667,55805,35076,1,0.61,0.01,0.38,0.22999999999999998,1,92068,6243,53821,38247,1,0.61,0.04,0.35,0.26,1,91097,34,48767,42330,1,0.65,0.0,0.35,0.30000000000000004,1,SOLID BLUE,0.04,0.07,0.03,Panhandle,12073,206335,57143,109506,39686,213195,58012,111777,43406,212540,56458,114496,41586,152132,139898,0.737,0.656,156642.0
Levy,6119,226,12054,-5935,2,0.33,0.01,0.66,-0.33,2,5101,519,13775,-8674,2,0.26,0.03,0.71,-0.44999999999999996,2,5319,3,11658,-6339,2,0.31,0.0,0.69,-0.37999999999999995,2,SOLID RED,0.07,-0.05,-0.12,North Central,12075,26833,12244,9460,5129,27859,13176,9167,5516,28835,14429,8720,5686,19395,16980,0.723,0.609,20848.0
Liberty,942,41,2301,-1359,2,0.29,0.01,0.7,-0.41,2,651,102,2543,-1892,2,0.2,0.03,0.77,-0.5700000000000001,2,632,0,2076,-1444,2,0.23,0.0,0.77,-0.54,2,SOLID RED,0.03,-0.13,-0.16,Panhandle,12077,4497,733,3398,366,4374,943,3033,398,4504,1419,2632,453,3296,2708,0.733,0.619,3301.0
Madison,4176,65,4474,-298,2,0.48,0.01,0.51,-0.030000000000000027,2,3526,128,4851,-1325,2,0.41,0.02,0.57,-0.15999999999999998,2,3425,0,4184,-759,2,0.45,0.0,0.55,-0.10000000000000003,2,SOLID RED,0.06,-0.07,-0.13,Panhandle,12079,11567,3201,7163,1203,11840,3609,6877,1354,11716,4143,6270,1303,8505,7609,0.735,0.643,8611.0
Manatee,66503,1361,85627,-19124,2,0.43,0.01,0.56,-0.13000000000000006,2,71224,5790,101944,-30720,2,0.4,0.03,0.57,-0.16999999999999993,2,68877,28,94390,-25513,2,0.42,0.0,0.58,-0.15999999999999998,2,SOLID RED,0.01,-0.03,-0.04,North Central,12081,231076,100474,71432,59170,245088,105864,74842,64382,260852,112246,80651,67955,178958,163295,0.774,0.666,201899.0
Marion,66831,1511,93043,-26212,2,0.41,0.01,0.58,-0.16999999999999998,2,62041,4826,107833,-45792,2,0.36,0.03,0.62,-0.26,2,59025,44,95592,-36567,2,0.38,0.0,0.62,-0.24,2,SOLID RED,0.02,-0.07,-0.09,North Central,12083,230841,101820,78463,50558,243088,108007,79683,55398,253824,114659,81877,57288,174700,154661,0.757,0.636,192145.0
Martin,30107,583,48183,-18076,2,0.38,0.01,0.61,-0.22999999999999998,2,30185,2403,53204,-23019,2,0.35,0.03,0.62,-0.27,2,30691,12,46733,-16042,2,0.4,0.0,0.6,-0.19999999999999996,2,SOLID RED,0.07,0.03,-0.04,Red South,12085,110935,55497,27955,27483,114132,56757,28859,28516,113963,56190,29496,28277,85792,77436,0.773,0.678,88093.0
Miami-Dade,541440,3893,332981,208459,1,0.62,0.0,0.38,0.24,1,624146,22059,333999,290147,1,0.64,0.02,0.34,0.3,1,485496,31,316020,169476,1,0.61,0.0,0.39,0.21999999999999997,1,SOLID BLUE,-0.08,-0.02,0.06,South,12086,1379230,372404,585807,421019,1428856,376374,599796,452686,1488430,394050,618985,475395,980204,801547,0.711,0.561,1058274.0
Monroe,19404,419,19234,170,1,0.5,0.01,0.49,0.010000000000000009,1,18971,1603,21904,-2933,2,0.45,0.04,0.52,-0.07,2,18051,4,18035,16,1,0.5,0.0,0.5,0.0,2,OBAMA-TRUMP,0.07,-0.01,-0.08,Red South,12087,54749,20966,17923,15860,53869,21088,17558,15223,53675,21723,18054,13898,42478,36090,0.776,0.67,41652.0
Nassau,10251,348,29929,-19678,2,0.25,0.01,0.74,-0.49,2,10869,1472,34266,-23397,2,0.23,0.03,0.74,-0.51,2,11703,3,31795,-20092,2,0.27,0.0,0.73,-0.45999999999999996,2,SOLID RED,0.05,0.03,-0.02,Jacksonville,12089,61292,35172,13903,12217,66798,38439,14511,13848,68670,39763,14679,14228,46607,43501,0.76,0.651,52189.0
Okaloosa,23421,1209,70168,-46747,2,0.25,0.01,0.74,-0.49,2,23780,5182,71893,-48113,2,0.24,0.05,0.71,-0.47,2,22902,19,60924,-38022,2,0.27,0.0,0.73,-0.45999999999999996,2,SOLID RED,0.01,0.03,0.02,Panhandle,12091,135678,78530,26353,30795,135563,78242,25630,31691,141848,81080,27865,32903,100855,83845,0.743,0.618,105393.0
Okeechobee,4856,140,7328,-2472,2,0.39,0.01,0.59,-0.19999999999999996,2,3959,338,9356,-5397,2,0.29,0.02,0.69,-0.39999999999999997,2,3496,1,7727,-4231,2,0.31,0.0,0.69,-0.37999999999999995,2,SOLID RED,0.02,-0.18,-0.2,Red South,12093,20008,8409,7675,3924,20552,9042,7304,4206,21443,10118,6847,4478,13653,11224,0.682,0.546,14624.0
Orange,273665,4105,188589,85076,1,0.59,0.01,0.4,0.18999999999999995,1,329894,21165,195216,134678,1,0.6,0.04,0.36,0.24,1,294308,70,180763,113545,1,0.62,0.0,0.38,0.24,1,SOLID BLUE,0.0,0.05,0.05,Central,12095,776488,213098,330890,232500,798373,211038,339550,247785,817281,211012,355330,250939,546275,475141,0.704,0.595,575366.0
Osceola,67239,867,40592,26647,1,0.62,0.01,0.37,0.25,1,85458,4447,50301,35157,1,0.61,0.03,0.36,0.25,1,67123,8,47898,19225,1,0.58,0.0,0.42,0.15999999999999998,1,SOLID BLUE,-0.09,-0.09,0.0,Central,12097,196326,47090,85839,63397,218754,49522,93700,75532,224319,50999,95530,77790,140206,115029,0.714,0.526,160164.0
Palm Beach,349651,3672,247398,102253,1,0.58,0.01,0.41,0.16999999999999998,1,374673,15257,272402,102271,1,0.57,0.02,0.41,0.15999999999999998,1,344008,36,244850,99158,1,0.58,0.0,0.42,0.15999999999999998,1,SOLID BLUE,0.0,-0.01,-0.01,South,12099,901642,254919,384141,262582,933572,263835,394809,274928,987463,278689,419586,289188,662332,588894,0.735,0.631,725785.0
