CountyName,DEM_12_raw,OTHER_12_raw,REP_12_raw,NET_DEM_12_raw,WINNER_12_raw,DEM_12_pct,OTHER_12_pct,REP_12_pct,NET_DEM_12_pct,WINNER_12_pct,DEM_16_raw,OTHER_16_raw,REP_16_raw,NET_DEM_16_raw,WINNER_16_raw,DEM_16_pct,OTHER_16_pct,REP_16_pct,NET_DEM_16_pct,WINNER_16_pct,COUNTY_CAT,TREND_12_16,Region,FIPS,Reg_16_Total,Reg_16_Rep,Reg_16_Dem,Reg_16_Other,Reg_20_Total,Reg_20_Rep,Reg_20_Dem,Reg_20_Other,Total_Vote_16,Turnout_16,Expected_2020_Vote,DEM_20_raw,OTHER_20_raw,REP_20_raw,NET_DEM_20_raw,WINNER_20_raw,DEM_20_pct,OTHER_20_pct,REP_20_pct,NET_DEM_20_pct,WINNER_20_pct,Total_Vote_20,Turnout_20,Expected_20_Vote_Remaining,Proj_Dem_Vote_Remaining,Proj_Rep_Vote_Remaining,Proj_Other_Vote_Remaining,Proj_Dem_Vote_Total,Proj_Rep_Vote_Total,Proj_Other_Vote_Total,Proj_Dem_Margin,Proj_Winner
CUMBERLAND,44367.0,1638.0,64809.0,-20442.0,2,0.4,0.01,0.58,-0.17999999999999994,2,47085.0,5456.0,69076.0,-21991.0,2,0.39,0.04,0.57,-0.17999999999999994,2,SOLID RED,0.0,PA Dutch,42041,166965,85322,55715,25928,178406,88027,61602,28777,121617.0,0.728,129880.0,25621,0,30961,-5340,2,0.45,0,0.55,-0.10000000000000003,2,56582,0.317,73298.0,32984.1,40313.9,0.0,58605.1,71274.9,0.0,-12670.0,2
DAUPHIN,64965.0,1593.0,57450.0,7515.0,1,0.52,0.01,0.46,0.06,1,64706.0,5303.0,60863.0,3843.0,1,0.49,0.04,0.47,0.020000000000000018,1,SOLID BLUE,-0.04,PA Dutch,42043,190301,76863,86930,26508,187621,73761,85954,27906,130872.0,0.688,129083.0,34421,0,29363,5058,1,0.54,0,0.46,0.08000000000000002,1,63784,0.34,65299.0,35261.46,30037.54,0.0,69682.45999999999,59400.54,0.0,10282.0,1
DELAWARE,171792.0,2919.0,110853.0,60939.0,1,0.6,0.01,0.39,0.20999999999999996,1,177402.0,9565.0,110667.0,66735.0,1,0.6,0.03,0.37,0.22999999999999998,1,SOLID BLUE,0.02,Philadelphia,42045,412854,171598,189167,52089,404732,155579,197210,51943,297634.0,0.721,291812.0,78480,0,44827,33653,1,0.64,0,0.36,0.28,1,123307,0.305,168505.0,107843.2,60661.799999999996,0.0,186323.2,105488.79999999999,0.0,80834.0,1
ELK,5463.0,196.0,7579.0,-2116.0,2,0.41,0.01,0.57,-0.15999999999999998,2,3853.0,548.0,10025.0,-6172.0,2,0.27,0.04,0.69,-0.41999999999999993,2,SOLID RED,-0.26,North Central,42047,20244,8467,9526,2251,19223,9314,7755,2154,14426.0,0.713,13706.0,2674,0,4546,-1872,2,0.37,0,0.63,-0.26,2,7220,0.376,6486.0,2399.82,4086.18,0.0,5073.82,8632.18,0.0,-3558.0,2
ERIE,68036.0,1558.0,49025.0,19011.0,1,0.57,0.01,0.41,0.15999999999999998,1,58112.0,5498.0,60069.0,-1957.0,2,0.47,0.04,0.49,-0.020000000000000018,2,OBAMA-TRUMP,-0.18,Great Lakes,42049,190222,67494,97597,25131,195467,70285,97678,27504,123679.0,0.65,127054.0,34903,0,21197,13706,1,0.62,0,0.38,0.24,1,56100,0.287,70954.0,43991.48,26962.52,0.0,78894.48000000001,48159.520000000004,0.0,30735.0,1
FAYETTE,21971.0,516.0,26018.0,-4047.0,2,0.45,0.01,0.54,-0.09000000000000002,2,17946.0,1231.0,34590.0,-16644.0,2,0.33,0.02,0.64,-0.31,2,SOLID RED,-0.22,Greater Pittsburgh,42051,83852,27923,48602,7327,77316,29944,39984,7388,53767.0,0.641,49560.0,11339,0,9568,1771,1,0.54,0,0.46,0.08000000000000002,1,20907,0.27,28653.0,15472.62,13180.380000000001,0.0,26811.620000000003,22748.38,0.0,4063.0,1
FOREST,896.0,33.0,1383.0,-487.0,2,0.39,0.01,0.6,-0.20999999999999996,2,626.0,92.0,1683.0,-1057.0,2,0.26,0.04,0.7,-0.43999999999999995,2,SOLID RED,-0.23,North Central,42053,3330,1750,1269,311,3385,1851,1166,368,2401.0,0.721,2441.0,362,0,806,-444,2,0.31,0,0.69,-0.37999999999999995,2,1168,0.345,1273.0,394.63,878.3699999999999,0.0,756.63,1684.37,0.0,-928.0,2
FRANKLIN,18995.0,823.0,43260.0,-24265.0,2,0.3,0.01,0.69,-0.38999999999999996,2,17465.0,2498.0,49768.0,-32303.0,2,0.25,0.04,0.71,-0.45999999999999996,2,SOLID RED,-0.07,PA Dutch,42055,93018,54576,25117,13325,94623,56722,24227,13674,69731.0,0.75,70967.0,8800,0,23207,-14407,2,0.27,0,0.73,-0.45999999999999996,2,32007,0.338,38960.0,10519.2,28440.8,0.0,19319.2,51647.8,0.0,-32329.0,2
FULTON,1310.0,71.0,4814.0,-3504.0,2,0.21,0.01,0.78,-0.5700000000000001,2,912.0,165.0,5694.0,-4782.0,2,0.13,0.02,0.84,-0.71,2,SOLID RED,-0.14,Alleghenies,42057,9187,5714,2537,936,9124,6120,2058,946,6771.0,0.737,6724.0,509,0,2342,-1833,2,0.18,0,0.82,-0.6399999999999999,2,2851,0.312,3873.0,697.14,3175.8599999999997,0.0,1206.1399999999999,5517.86,0.0,-4312.0,2
GREENE,5852.0,184.0,8428.0,-2576.0,2,0.4,0.01,0.58,-0.17999999999999994,2,4482.0,433.0,10849.0,-6367.0,2,0.28,0.03,0.69,-0.4099999999999999,2,SOLID RED,-0.23,Greater Pittsburgh,42059,22590,8060,12474,2056,21704,9230,10350,2124,15764.0,0.698,15149.0,3228,0,3571,-343,2,0.47,0,0.53,-0.06000000000000005,2,6799,0.313,8350.0,3924.5,4425.5,0.0,7152.5,7996.5,0.0,-844.0,2
HUNTINGDON,5409.0,251.0,11979.0,-6570.0,2,0.31,0.01,0.68,-0.37000000000000005,2,4539.0,673.0,14494.0,-9955.0,2,0.23,0.03,0.74,-0.51,2,SOLID RED,-0.14,Alleghenies,42061,29781,17484,9214,3083,26687,16448,7520,2719,19706.0,0.662,17667.0,2317,0,6655,-4338,2,0.26,0,0.74,-0.48,2,8972,0.336,8695.0,2260.7000000000003,6434.3,0.0,4577.700000000001,13089.3,0.0,-8512.0,2
INDIANA,14473.0,591.0,21257.0,-6784.0,2,0.4,0.02,0.59,-0.18999999999999995,2,11528.0,1354.0,24888.0,-13360.0,2,0.31,0.04,0.66,-0.35000000000000003,2,SOLID RED,-0.16,Greater Pittsburgh,42063,51853,24193,20612,7048,49874,25085,18405,6384,37770.0,0.728,36308.0,6502,0,9713,-3211,2,0.4,0,0.6,-0.19999999999999996,2,16215,0.325,20093.0,8037.200000000001,12055.8,0.0,14539.2,21768.8,0.0,-7230.0,2
